MetricGroup,MetricName,MetricExpr,MetricThreshold,ScaleUnit,BriefDescription,PublicDescription
MemoryTLB,tma_info_memory_tlb_page_walks_utilization,(ITLB_MISSES.WALK_DURATION + DTLB_LOAD_MISSES.WALK_DURATION + DTLB_STORE_MISSES.WALK_DURATION) / tma_info_core_core_clks,tma_info_memory_tlb_page_walks_utilization > 0.5,,Utilization of the core's Page Walker(s) serving STLB misses triggered by instruction/Load/Store accesses,
MemoryTLB,tma_itlb_misses,(14 * ITLB_MISSES.STLB_HIT + ITLB_MISSES.WALK_DURATION) / tma_info_thread_clks,tma_itlb_misses > 0.05 & (tma_fetch_latency > 0.1 & tma_frontend_bound > 0.15),100%,This metric represents fraction of cycles the CPU was stalled due to Instruction TLB (ITLB) misses,This metric represents fraction of cycles the CPU was stalled due to Instruction TLB (ITLB) misses. Sample with: ITLB_MISSES.WALK_COMPLETED
Memory_BW,tma_info_memory_oro_data_l2_mlp,OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD / OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,,,Average Parallel L2 cache miss data reads,
Memory_BW,tma_info_memory_oro_load_l2_mlp,OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD / OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD,,,Average Parallel L2 cache miss demand Loads,
Memory_Lat,tma_info_memory_oro_load_l2_miss_latency,OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD / OFFCORE_REQUESTS.DEMAND_DATA_RD,,,Average Latency for L2 cache miss demand Loads,
MicroSeq,tma_microcode_sequencer,UOPS_RETIRED.RETIRE_SLOTS / UOPS_ISSUED.ANY * IDQ.MS_UOPS / tma_info_thread_slots,tma_microcode_sequencer > 0.05 & tma_heavy_operations > 0.1,100%,This metric represents fraction of slots the CPU was retiring uops fetched by the Microcode Sequencer (MS) unit,"This metric represents fraction of slots the CPU was retiring uops fetched by the Microcode Sequencer (MS) unit.  The MS is used for CISC instructions not supported by the default decoders (like repeat move strings; or CPUID); or by microcode assists used to address some operation modes (like in Floating Point assists). These cases can often be avoided. Sample with: IDQ.MS_UOPS. Related metrics: tma_clears_resteers, tma_l1_bound, tma_machine_clears, tma_ms_switches"
MicroSeq,tma_ms_switches,2 * IDQ.MS_SWITCHES / tma_info_thread_clks,tma_ms_switches > 0.05 & (tma_fetch_latency > 0.1 & tma_frontend_bound > 0.15),100%,This metric estimates the fraction of cycles when the CPU was stalled due to switches of uop delivery to the Microcode Sequencer (MS),"This metric estimates the fraction of cycles when the CPU was stalled due to switches of uop delivery to the Microcode Sequencer (MS). Commonly used instructions are optimized for delivery by the DSB (decoded i-cache) or MITE (legacy instruction decode) pipelines. Certain operations cannot be handled natively by the execution pipeline; and must be performed by microcode (small programs injected into the execution stream). Switching to the MS too often can negatively impact performance. The MS is designated to deliver long uop flows required by CISC instructions like CPUID; or uncommon conditions like Floating Point Assists when dealing with Denormals. Sample with: IDQ.MS_SWITCHES. Related metrics: tma_clears_resteers, tma_l1_bound, tma_machine_clears, tma_microcode_sequencer, tma_mixing_vectors, tma_serializing_operation"
No_group,cpi,CPU_CLK_UNHALTED.THREAD / INST_RETIRED.ANY,,1per_instr,Cycles per instruction retired; indicating how much time each executed instruction took; in units of cycles,
No_group,cpu_operating_frequency,CPU_CLK_UNHALTED.THREAD / CPU_CLK_UNHALTED.REF_TSC * #SYSTEM_TSC_FREQ / 1e9,,1GHz,CPU operating frequency (in GHz),
No_group,cpu_utilization,tma_info_system_cpu_utilization,,100%,Percentage of time spent in the active CPU power state C0,
No_group,dtlb_load_mpi,DTLB_LOAD_MISSES.WALK_COMPLETED / INST_RETIRED.ANY,,1per_instr,Ratio of number of completed page walks (for all page sizes) caused by demand data loads to the total number of completed instructions,Ratio of number of completed page walks (for all page sizes) caused by demand data loads to the total number of completed instructions. This implies it missed in the DTLB and further levels of TLB
No_group,dtlb_store_mpi,DTLB_STORE_MISSES.WALK_COMPLETED / INST_RETIRED.ANY,,1per_instr,Ratio of number of completed page walks (for all page sizes) caused by demand data stores to the total number of completed instructions,Ratio of number of completed page walks (for all page sizes) caused by demand data stores to the total number of completed instructions. This implies it missed in the DTLB and further levels of TLB
No_group,io_bandwidth_read,"cbox@UNC_C_TOR_INSERTS.OPCODE\,filter_opc\=0x19e@ * 64 / 1e6 / duration_time",,1MB/s,Bandwidth of IO reads that are initiated by end device controllers that are requesting memory from the CPU,
No_group,io_bandwidth_write,"cbox@UNC_C_TOR_INSERTS.OPCODE\,filter_opc\=0x1c8\,filter_tid\=0x3e@ * 64 / 1e6 / duration_time",,1MB/s,Bandwidth of IO writes that are initiated by end device controllers that are writing memory to the CPU,
No_group,itlb_large_page_mpi,ITLB_MISSES.WALK_COMPLETED_2M_4M / INST_RETIRED.ANY,,1per_instr,Ratio of number of completed page walks (for 2 megabyte and 4 megabyte page sizes) caused by a code fetch to the total number of completed instructions,Ratio of number of completed page walks (for 2 megabyte and 4 megabyte page sizes) caused by a code fetch to the total number of completed instructions. This implies it missed in the Instruction Translation Lookaside Buffer (ITLB) and further levels of TLB
No_group,itlb_mpi,ITLB_MISSES.WALK_COMPLETED / INST_RETIRED.ANY,,1per_instr,Ratio of number of completed page walks (for all page sizes) caused by a code fetch to the total number of completed instructions,Ratio of number of completed page walks (for all page sizes) caused by a code fetch to the total number of completed instructions. This implies it missed in the ITLB (Instruction TLB) and further levels of TLB
No_group,l1_i_code_read_misses_with_prefetches_per_instr,L2_RQSTS.ALL_CODE_RD / INST_RETIRED.ANY,,1per_instr,Ratio of number of code read requests missing in L1 instruction cache (includes prefetches) to the total number of completed instructions,
No_group,l1d_demand_data_read_hits_per_instr,MEM_LOAD_UOPS_RETIRED.L1_HIT / INST_RETIRED.ANY,,1per_instr,Ratio of number of demand load requests hitting in L1 data cache to the total number of completed instructions,
No_group,l1d_mpi,L1D.REPLACEMENT / INST_RETIRED.ANY,,1per_instr,Ratio of number of requests missing L1 data cache (includes data+rfo w/ prefetches) to the total number of completed instructions,
No_group,l2_demand_code_mpi,L2_RQSTS.CODE_RD_MISS / INST_RETIRED.ANY,,1per_instr,Ratio of number of code read request missing L2 cache to the total number of completed instructions,
No_group,l2_demand_data_read_hits_per_instr,MEM_LOAD_UOPS_RETIRED.L2_HIT / INST_RETIRED.ANY,,1per_instr,Ratio of number of completed demand load requests hitting in L2 cache to the total number of completed instructions,
No_group,l2_demand_data_read_mpi,MEM_LOAD_UOPS_RETIRED.L2_MISS / INST_RETIRED.ANY,,1per_instr,Ratio of number of completed data read request missing L2 cache to the total number of completed instructions,
No_group,l2_mpi,L2_LINES_IN.ALL / INST_RETIRED.ANY,,1per_instr,Ratio of number of requests missing L2 cache (includes code+data+rfo w/ prefetches) to the total number of completed instructions,
No_group,llc_code_read_mpi_demand_plus_prefetch,"(cbox@UNC_C_TOR_INSERTS.MISS_OPCODE\,filter_opc\=0x181@ + cbox@UNC_C_TOR_INSERTS.MISS_OPCODE\,filter_opc\=0x191@) / INST_RETIRED.ANY",,1per_instr,Ratio of number of code read requests missing last level core cache (includes demand w/ prefetches) to the total number of completed instructions,
No_group,llc_data_read_demand_plus_prefetch_miss_latency,"1e9 * (cbox@UNC_C_TOR_OCCUPANCY.MISS_OPCODE\,filter_opc\=0x182@ / cbox@UNC_C_TOR_INSERTS.MISS_OPCODE\,filter_opc\=0x182@) / (UNC_C_CLOCKTICKS / (#num_cores / #num_packages * #num_packages)) * duration_time",,1ns,Average latency of a last level cache (LLC) demand and prefetch data read miss (read memory access) in nano seconds,
No_group,llc_data_read_demand_plus_prefetch_miss_latency_for_local_requests,"1e9 * (cbox@UNC_C_TOR_OCCUPANCY.MISS_LOCAL_OPCODE\,filter_opc\=0x182@ / cbox@UNC_C_TOR_INSERTS.MISS_LOCAL_OPCODE\,filter_opc\=0x182@) / (UNC_C_CLOCKTICKS / (#num_cores / #num_packages * #num_packages)) * duration_time",,1ns,Average latency of a last level cache (LLC) demand and prefetch data read miss (read memory access) addressed to local memory in nano seconds,
No_group,llc_data_read_demand_plus_prefetch_miss_latency_for_remote_requests,"1e9 * (cbox@UNC_C_TOR_OCCUPANCY.MISS_REMOTE_OPCODE\,filter_opc\=0x182@ / cbox@UNC_C_TOR_INSERTS.MISS_REMOTE_OPCODE\,filter_opc\=0x182@) / (UNC_C_CLOCKTICKS / (#num_cores / #num_packages * #num_packages)) * duration_time",,1ns,Average latency of a last level cache (LLC) demand and prefetch data read miss (read memory access) addressed to remote memory in nano seconds,
No_group,llc_data_read_mpi_demand_plus_prefetch,"(cbox@UNC_C_TOR_INSERTS.MISS_OPCODE\,filter_opc\=0x182@ + cbox@UNC_C_TOR_INSERTS.MISS_OPCODE\,filter_opc\=0x192@) / INST_RETIRED.ANY",,1per_instr,Ratio of number of data read requests missing last level core cache (includes demand w/ prefetches) to the total number of completed instructions,
No_group,loads_per_instr,MEM_UOPS_RETIRED.ALL_LOADS / INST_RETIRED.ANY,,1per_instr,The ratio of number of completed memory load instructions to the total number completed instructions,
No_group,memory_bandwidth_read,UNC_M_CAS_COUNT.RD * 64 / 1e6 / duration_time,,1MB/s,DDR memory read bandwidth (MB/sec),
No_group,memory_bandwidth_total,(UNC_M_CAS_COUNT.RD + UNC_M_CAS_COUNT.WR) * 64 / 1e6 / duration_time,,1MB/s,DDR memory bandwidth (MB/sec),
No_group,memory_bandwidth_write,UNC_M_CAS_COUNT.WR * 64 / 1e6 / duration_time,,1MB/s,DDR memory write bandwidth (MB/sec),
No_group,numa_reads_addressed_to_local_dram,"cbox@UNC_C_TOR_INSERTS.MISS_LOCAL_OPCODE\,filter_opc\=0x182@ / (cbox@UNC_C_TOR_INSERTS.MISS_LOCAL_OPCODE\,filter_opc\=0x182@ + cbox@UNC_C_TOR_INSERTS.MISS_REMOTE_OPCODE\,filter_opc\=0x182@)",,100%,"Memory read that miss the last level cache (LLC) addressed to local DRAM as a percentage of total memory read accesses, does not include LLC prefetches",
No_group,numa_reads_addressed_to_remote_dram,"cbox@UNC_C_TOR_INSERTS.MISS_REMOTE_OPCODE\,filter_opc\=0x182@ / (cbox@UNC_C_TOR_INSERTS.MISS_LOCAL_OPCODE\,filter_opc\=0x182@ + cbox@UNC_C_TOR_INSERTS.MISS_REMOTE_OPCODE\,filter_opc\=0x182@)",,100%,"Memory reads that miss the last level cache (LLC) addressed to remote DRAM as a percentage of total memory read accesses, does not include LLC prefetches",
No_group,percent_uops_delivered_from_decoded_icache,IDQ.DSB_UOPS / UOPS_ISSUED.ANY,,100%,Uops delivered from decoded instruction cache (decoded stream buffer or DSB) as a percent of total uops delivered to Instruction Decode Queue,
No_group,percent_uops_delivered_from_legacy_decode_pipeline,IDQ.MITE_UOPS / UOPS_ISSUED.ANY,,100%,Uops delivered from legacy decode pipeline (Micro-instruction Translation Engine or MITE) as a percent of total uops delivered to Instruction Decode Queue,
No_group,percent_uops_delivered_from_loop_stream_detector,(UOPS_ISSUED.ANY - IDQ.MITE_UOPS - IDQ.MS_UOPS - IDQ.DSB_UOPS) / UOPS_ISSUED.ANY,,100%,Uops delivered from loop stream detector(LSD) as a percent of total uops delivered to Instruction Decode Queue,
No_group,percent_uops_delivered_from_microcode_sequencer,IDQ.MS_UOPS / UOPS_ISSUED.ANY,,100%,Uops delivered from microcode sequencer (MS) as a percent of total uops delivered to Instruction Decode Queue,
No_group,qpi_data_transmit_bw,UNC_Q_TxL_FLITS_G0.DATA * 8 / 1e6 / duration_time,,1MB/s,Intel(R) Quick Path Interconnect (QPI) data transmit bandwidth (MB/sec),
No_group,stores_per_instr,MEM_UOPS_RETIRED.ALL_STORES / INST_RETIRED.ANY,,1per_instr,The ratio of number of completed memory store instructions to the total number completed instructions,
No_group,uncore_frequency,UNC_C_CLOCKTICKS / (#num_cores / #num_packages * #num_packages) / 1e9 / duration_time,,1GHz,Uncore operating frequency in GHz,
OS,tma_info_system_ipfarbranch,INST_RETIRED.ANY / BR_INST_RETIRED.FAR_BRANCH:u,tma_info_system_ipfarbranch < 1e6,,"Instructions per Far Branch ( Far Branches apply upon transition from application to operating system, handling interrupts, exceptions) [lower number means higher occurrence rate]",
OS,tma_info_system_kernel_cpi,CPU_CLK_UNHALTED.THREAD_P:k / INST_RETIRED.ANY_P:k,,,Cycles Per Instruction for the Operating System (OS) Kernel mode,
OS,tma_info_system_kernel_utilization,CPU_CLK_UNHALTED.THREAD_P:k / CPU_CLK_UNHALTED.THREAD,tma_info_system_kernel_utilization > 0.05,,Fraction of cycles spent in the Operating System (OS) Kernel mode,
Offcore,tma_contested_accesses,(60 * (MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM * (1 + MEM_LOAD_UOPS_RETIRED.HIT_LFB / (MEM_LOAD_UOPS_RETIRED.L2_HIT + MEM_LOAD_UOPS_RETIRED.L3_HIT + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS + MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD))) + 43 * (MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS * (1 + MEM_LOAD_UOPS_RETIRED.HIT_LFB / (MEM_LOAD_UOPS_RETIRED.L2_HIT + MEM_LOAD_UOPS_RETIRED.L3_HIT + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS + MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD)))) / tma_info_thread_clks,tma_contested_accesses > 0.05 & (tma_l3_bound > 0.05 & (tma_memory_bound > 0.2 & tma_backend_bound > 0.2)),100%,This metric estimates fraction of cycles while the memory subsystem was handling synchronizations due to contested accesses,"This metric estimates fraction of cycles while the memory subsystem was handling synchronizations due to contested accesses. Contested accesses occur when data written by one Logical Processor are read by another Logical Processor on a different Physical Core. Examples of contested accesses include synchronizations such as locks; true data sharing such as modified locked variables; and false sharing. Sample with: MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS;MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS. Related metrics: tma_data_sharing, tma_false_sharing, tma_machine_clears, tma_remote_cache"
Offcore,tma_data_sharing,43 * (MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT * (1 + MEM_LOAD_UOPS_RETIRED.HIT_LFB / (MEM_LOAD_UOPS_RETIRED.L2_HIT + MEM_LOAD_UOPS_RETIRED.L3_HIT + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS + MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD))) / tma_info_thread_clks,tma_data_sharing > 0.05 & (tma_l3_bound > 0.05 & (tma_memory_bound > 0.2 & tma_backend_bound > 0.2)),100%,This metric estimates fraction of cycles while the memory subsystem was handling synchronizations due to data-sharing accesses,"This metric estimates fraction of cycles while the memory subsystem was handling synchronizations due to data-sharing accesses. Data shared by multiple Logical Processors (even just read shared) may cause increased access latency due to cache coherency. Excessive data sharing can drastically harm multithreaded performance. Sample with: MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS. Related metrics: tma_contested_accesses, tma_false_sharing, tma_machine_clears, tma_remote_cache"
Offcore,tma_false_sharing,(200 * OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.REMOTE_HITM + 60 * OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE) / tma_info_thread_clks,tma_false_sharing > 0.05 & (tma_store_bound > 0.2 & (tma_memory_bound > 0.2 & tma_backend_bound > 0.2)),100%,This metric roughly estimates how often CPU was handling synchronizations due to False Sharing,"This metric roughly estimates how often CPU was handling synchronizations due to False Sharing. False Sharing is a multithreading hiccup; where multiple Logical Processors contend on different data-elements mapped into the same cache line. Sample with: MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS;OFFCORE_RESPONSE.DEMAND_RFO.L3_HIT.SNOOP_HITM. Related metrics: tma_contested_accesses, tma_data_sharing, tma_machine_clears, tma_remote_cache"
Offcore,tma_info_memory_oro_data_l2_mlp,OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD / OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD,,,Average Parallel L2 cache miss data reads,
Offcore,tma_info_memory_oro_load_l2_miss_latency,OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD / OFFCORE_REQUESTS.DEMAND_DATA_RD,,,Average Latency for L2 cache miss demand Loads,
Offcore,tma_info_memory_oro_load_l2_mlp,OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD / OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD,,,Average Parallel L2 cache miss demand Loads,
Offcore,tma_info_memory_thread_l3_cache_access_bw_1t,0,,,Average per-thread data access bandwidth to the L3 cache [GB / sec],
Offcore,tma_lock_latency,"MEM_UOPS_RETIRED.LOCK_LOADS / MEM_UOPS_RETIRED.ALL_STORES * min(CPU_CLK_UNHALTED.THREAD, OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO) / tma_info_thread_clks",tma_lock_latency > 0.2 & (tma_l1_bound > 0.1 & (tma_memory_bound > 0.2 & tma_backend_bound > 0.2)),100%,This metric represents fraction of cycles the CPU spent handling cache misses due to lock operations,This metric represents fraction of cycles the CPU spent handling cache misses due to lock operations. Due to the microarchitecture handling of locks; they are classified as L1_Bound regardless of what memory source satisfied them. Sample with: MEM_UOPS_RETIRED.LOCK_LOADS_PS. Related metrics: tma_store_latency
Offcore,tma_mem_bandwidth,"min(CPU_CLK_UNHALTED.THREAD, cpu@OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD\,cmask\=6@) / tma_info_thread_clks",tma_mem_bandwidth > 0.2 & (tma_dram_bound > 0.1 & (tma_memory_bound > 0.2 & tma_backend_bound > 0.2)),100%,This metric estimates fraction of cycles where the core's performance was likely hurt due to approaching bandwidth limits of external memory (DRAM),"This metric estimates fraction of cycles where the core's performance was likely hurt due to approaching bandwidth limits of external memory (DRAM).  The underlying heuristic assumes that a similar off-core traffic is generated by all IA cores. This metric does not aggregate non-data-read requests by this logical processor; requests from other IA Logical Processors/Physical Cores/sockets; or other non-IA devices like GPU; hence the maximum external memory bandwidth limits may or may not be approached when this metric is flagged (see Uncore counters for that). Related metrics: tma_fb_full, tma_info_system_dram_bw_use, tma_sq_full"
Offcore,tma_mem_latency,"min(CPU_CLK_UNHALTED.THREAD, OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD) / tma_info_thread_clks - tma_mem_bandwidth",tma_mem_latency > 0.1 & (tma_dram_bound > 0.1 & (tma_memory_bound > 0.2 & tma_backend_bound > 0.2)),100%,This metric estimates fraction of cycles where the performance was likely hurt due to latency from external memory (DRAM),This metric estimates fraction of cycles where the performance was likely hurt due to latency from external memory (DRAM).  This metric does not aggregate requests from other Logical Processors/Physical Cores/sockets (see Uncore counters for that). Related metrics: tma_l3_hit_latency
Offcore,tma_remote_cache,(200 * (MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM * (1 + MEM_LOAD_UOPS_RETIRED.HIT_LFB / (MEM_LOAD_UOPS_RETIRED.L2_HIT + MEM_LOAD_UOPS_RETIRED.L3_HIT + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS + MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD))) + 180 * (MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD * (1 + MEM_LOAD_UOPS_RETIRED.HIT_LFB / (MEM_LOAD_UOPS_RETIRED.L2_HIT + MEM_LOAD_UOPS_RETIRED.L3_HIT + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS + MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD)))) / tma_info_thread_clks,tma_remote_cache > 0.05 & (tma_mem_latency > 0.1 & (tma_dram_bound > 0.1 & (tma_memory_bound > 0.2 & tma_backend_bound > 0.2))),100%,This metric estimates fraction of cycles while the memory subsystem was handling loads from remote cache in other sockets including synchronizations issues,"This metric estimates fraction of cycles while the memory subsystem was handling loads from remote cache in other sockets including synchronizations issues. This is caused often due to non-optimal NUMA allocations. #link to NUMA article. Sample with: MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS;MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS. Related metrics: tma_contested_accesses, tma_data_sharing, tma_false_sharing, tma_machine_clears"
Offcore,tma_sq_full,(OFFCORE_REQUESTS_BUFFER.SQ_FULL / 2 if #SMT_on else OFFCORE_REQUESTS_BUFFER.SQ_FULL) / tma_info_core_core_clks,tma_sq_full > 0.3 & (tma_l3_bound > 0.05 & (tma_memory_bound > 0.2 & tma_backend_bound > 0.2)),100%,This metric measures fraction of cycles where the Super Queue (SQ) was full taking into account all request-types and both hardware SMT threads (Logical Processors),"This metric measures fraction of cycles where the Super Queue (SQ) was full taking into account all request-types and both hardware SMT threads (Logical Processors). Related metrics: tma_fb_full, tma_info_system_dram_bw_use, tma_mem_bandwidth"
Offcore,tma_store_latency,"(L2_RQSTS.RFO_HIT * 9 * (1 - MEM_UOPS_RETIRED.LOCK_LOADS / MEM_UOPS_RETIRED.ALL_STORES) + (1 - MEM_UOPS_RETIRED.LOCK_LOADS / MEM_UOPS_RETIRED.ALL_STORES) * min(CPU_CLK_UNHALTED.THREAD, OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO)) / tma_info_thread_clks",tma_store_latency > 0.1 & (tma_store_bound > 0.2 & (tma_memory_bound > 0.2 & tma_backend_bound > 0.2)),100%,This metric estimates fraction of cycles the CPU spent handling L1D store misses,"This metric estimates fraction of cycles the CPU spent handling L1D store misses. Store accesses usually less impact out-of-order core performance; however; holding resources for longer time can lead into undesired implications (e.g. contention on L1D fill-buffer entries - see FB_Full). Related metrics: tma_fb_full, tma_lock_latency"
PGO,tma_frontend_bound,IDQ_UOPS_NOT_DELIVERED.CORE / tma_info_thread_slots,tma_frontend_bound > 0.15,100%,This category represents fraction of slots where the processor's Frontend undersupplies its Backend,This category represents fraction of slots where the processor's Frontend undersupplies its Backend. Frontend denotes the first part of the processor core responsible to fetch operations that are executed later on by the Backend part. Within the Frontend; a branch predictor predicts the next address to fetch; cache-lines are fetched from the memory subsystem; parsed into instructions; and lastly decoded into micro-operations (uops). Ideally the Frontend can issue Pipeline_Width uops every cycle to the Backend. Frontend Bound denotes unutilized issue-slots when there is no Backend stall; i.e. bubbles where Frontend delivered no uops while Backend could have accepted them. For example; stalls due to instruction-cache misses would be categorized under Frontend Bound
PGO,tma_info_inst_mix_bptkbranch,BR_INST_RETIRED.ALL_BRANCHES / BR_INST_RETIRED.NEAR_TAKEN,,,Branch instructions per taken branch,
PGO,tma_info_inst_mix_ipcall,INST_RETIRED.ANY / BR_INST_RETIRED.NEAR_CALL,tma_info_inst_mix_ipcall < 200,,Instructions per (near) call (lower number means higher occurrence rate),
PGO,tma_info_inst_mix_iptb,INST_RETIRED.ANY / BR_INST_RETIRED.NEAR_TAKEN,tma_info_inst_mix_iptb < 9,,Instruction per taken branch,"Instruction per taken branch. Related metrics: tma_dsb_switches, tma_fetch_bandwidth, tma_info_frontend_dsb_coverage, tma_lcp"
Pipeline,tma_info_core_ilp,"(UOPS_EXECUTED.CORE / 2 / (cpu@UOPS_EXECUTED.CORE\,cmask\=1@ / 2 if #SMT_on else cpu@UOPS_EXECUTED.CORE\,cmask\=1@) if #SMT_on else UOPS_EXECUTED.CORE / (cpu@UOPS_EXECUTED.CORE\,cmask\=1@ / 2 if #SMT_on else cpu@UOPS_EXECUTED.CORE\,cmask\=1@))",,,Instruction-Level-Parallelism (average number of uops executed when there is execution) per-core,
Pipeline,tma_info_pipeline_retire,"UOPS_RETIRED.RETIRE_SLOTS / cpu@UOPS_RETIRED.RETIRE_SLOTS\,cmask\=1@",,,Average number of Uops retired in cycles where at least one uop has retired,
Pipeline,tma_info_thread_clks,CPU_CLK_UNHALTED.THREAD,,,Per-Logical Processor actual clocks when the Logical Processor is active,
Pipeline,tma_info_thread_cpi,1 / tma_info_thread_ipc,,,Cycles Per Instruction (per Logical Processor),
Pipeline,tma_info_thread_uoppi,UOPS_RETIRED.RETIRE_SLOTS / INST_RETIRED.ANY,tma_info_thread_uoppi > 1.05,,Uops Per Instruction,
PortsUtil,tma_info_core_ilp,"(UOPS_EXECUTED.CORE / 2 / (cpu@UOPS_EXECUTED.CORE\,cmask\=1@ / 2 if #SMT_on else cpu@UOPS_EXECUTED.CORE\,cmask\=1@) if #SMT_on else UOPS_EXECUTED.CORE / (cpu@UOPS_EXECUTED.CORE\,cmask\=1@ / 2 if #SMT_on else cpu@UOPS_EXECUTED.CORE\,cmask\=1@))",,,Instruction-Level-Parallelism (average number of uops executed when there is execution) per-core,
