EventName,EventAlias,EventType,Unit,Topic,Encoding,ScaleUnit,BriefDescription,PublicDescription
unc_c_rxr_ismq_retry.full,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x33,umask=0x2/",,ISMQ Retries; No Egress Credits. Unit: uncore_cbox ,"Number of times a transaction flowing through the ISMQ had to retry.  Transaction pass through the ISMQ as responses for requests that already exist in the Cbo.  Some examples include: when data is returned or when snoop responses come back from the cores.; Counts the number of times that a request from the ISMQ retried because of a TOR reject caused by a lack of Egress credits. The egress is the buffer that queues up for allocating onto the ring.  If any of the Egress queues that a given request needs to make use of are full, the request will be retried"
unc_c_rxr_ismq_retry.iio_credits,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x33,umask=0x20/",,ISMQ Retries; No IIO Credits. Unit: uncore_cbox ,Number of times a transaction flowing through the ISMQ had to retry.  Transaction pass through the ISMQ as responses for requests that already exist in the Cbo.  Some examples include: when data is returned or when snoop responses come back from the cores.; Number of times a request attempted to acquire the NCS/NCB credit for sending messages on BL to the IIO.  There is a single credit in each CBo that is shared between the NCS and NCB message classes for sending transactions on the BL ring (such as read data) to the IIO
unc_c_rxr_ismq_retry.nid,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x33,umask=0x40/",,ISMQ Retries. Unit: uncore_cbox ,Number of times a transaction flowing through the ISMQ had to retry.  Transaction pass through the ISMQ as responses for requests that already exist in the Cbo.  Some examples include: when data is returned or when snoop responses come back from the cores.; Qualify one of the other subevents by a given RTID destination NID.  The NID is programmed in Cn_MSR_PMON_BOX_FILTER1.nid
unc_c_rxr_ismq_retry.qpi_credits,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x33,umask=0x10/",,ISMQ Retries; No QPI Credits. Unit: uncore_cbox ,Number of times a transaction flowing through the ISMQ had to retry.  Transaction pass through the ISMQ as responses for requests that already exist in the Cbo.  Some examples include: when data is returned or when snoop responses come back from the cores
unc_c_rxr_ismq_retry.rtid,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x33,umask=0x8/",,ISMQ Retries; No RTIDs. Unit: uncore_cbox ,"Number of times a transaction flowing through the ISMQ had to retry.  Transaction pass through the ISMQ as responses for requests that already exist in the Cbo.  Some examples include: when data is returned or when snoop responses come back from the cores.; Counts the number of times that a request from the ISMQ retried because of a TOR reject caused by no RTIDs.  M-state cache evictions are serviced through the ISMQ, and must acquire an RTID in order to write back to memory.  If no RTIDs are available, they will be retried"
unc_c_rxr_ismq_retry.wb_credits,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x33,umask=0x80/",,ISMQ Retries. Unit: uncore_cbox ,Number of times a transaction flowing through the ISMQ had to retry.  Transaction pass through the ISMQ as responses for requests that already exist in the Cbo.  Some examples include: when data is returned or when snoop responses come back from the cores.; Qualify one of the other subevents by a given RTID destination NID.  The NID is programmed in Cn_MSR_PMON_BOX_FILTER1.nid
unc_c_rxr_ismq_retry2.ad_sbo,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x2a,umask=0x1/",,ISMQ Request Queue Rejects; No AD Sbo Credits. Unit: uncore_cbox ,Counts the number of times that a request from the ISMQ was retried because of it lacked credits to send an AD packet to the Sbo
unc_c_rxr_ismq_retry2.bl_sbo,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x2a,umask=0x2/",,ISMQ Request Queue Rejects; No BL Sbo Credits. Unit: uncore_cbox ,Counts the number of times that a request from the ISMQ was retried because of it lacked credits to send an BL packet to the Sbo
unc_c_rxr_ismq_retry2.target,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x2a,umask=0x40/",,ISMQ Request Queue Rejects; Target Node Filter. Unit: uncore_cbox ,Counts the number of times that a request from the ISMQ was retried filtered by the Target NodeID as specified in the Cbox's Filter register
unc_c_rxr_occupancy.ipq,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x11,umask=0x4/",,Ingress Occupancy; IPQ. Unit: uncore_cbox ,Counts number of entries in the specified Ingress queue in each cycle
unc_c_rxr_occupancy.irq,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x11,umask=0x1/",,Ingress Occupancy; IRQ. Unit: uncore_cbox ,Counts number of entries in the specified Ingress queue in each cycle
unc_c_rxr_occupancy.irq_rej,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x11,umask=0x2/",,Ingress Occupancy; IRQ Rejected. Unit: uncore_cbox ,Counts number of entries in the specified Ingress queue in each cycle
unc_c_rxr_occupancy.prq_rej,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x11,umask=0x20/",,Ingress Occupancy; PRQ Rejects. Unit: uncore_cbox ,Counts number of entries in the specified Ingress queue in each cycle
unc_c_sbo_credit_occupancy.ad,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x3e,umask=0x1/",,SBo Credits Occupancy; For AD Ring. Unit: uncore_cbox ,"Number of Sbo credits in use in a given cycle, per ring.  Each Cbo is assigned an Sbo it can communicate with"
unc_c_sbo_credit_occupancy.bl,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x3e,umask=0x2/",,SBo Credits Occupancy; For BL Ring. Unit: uncore_cbox ,"Number of Sbo credits in use in a given cycle, per ring.  Each Cbo is assigned an Sbo it can communicate with"
unc_c_sbo_credits_acquired.ad,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x3d,umask=0x1/",,SBo Credits Acquired; For AD Ring. Unit: uncore_cbox ,"Number of Sbo credits acquired in a given cycle, per ring.  Each Cbo is assigned an Sbo it can communicate with"
unc_c_sbo_credits_acquired.bl,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x3d,umask=0x2/",,SBo Credits Acquired; For BL Ring. Unit: uncore_cbox ,"Number of Sbo credits acquired in a given cycle, per ring.  Each Cbo is assigned an Sbo it can communicate with"
unc_c_tor_inserts.all,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x8/",,TOR Inserts; All. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; All transactions inserted into the TOR.    This includes requests that reside in the TOR for a short time, such as LLC Hits that do not need to snoop cores or requests that get rejected and have to be retried through one of the ingress queues.  The TOR is more commonly a bottleneck in skews with smaller core counts, where the ratio of RTIDs to TOR entries is larger.  Note that there are reserved TOR entries for various request types, so it is possible that a given request type be blocked with an occupancy that is less than 20.  Also note that generally requests will not be able to arbitrate into the TOR pipeline if there are no available TOR slots"
unc_c_tor_inserts.eviction,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x4/",,TOR Inserts; Evictions. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; Eviction transactions inserted into the TOR.  Evictions can be quick, such as when the line is in the F, S, or E states and no core valid bits are set.  They can also be longer if either CV bits are set (so the cores need to be snooped) and/or if there is a HitM (in which case it is necessary to write the request out to memory)"
unc_c_tor_inserts.local,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x28/",,TOR Inserts; Local Memory. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; All transactions inserted into the TOR that are satisfied by locally HOMed memory"
unc_c_tor_inserts.local_opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x21/",,TOR Inserts; Local Memory - Opcode Matched. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match qualifications specified by the subevent. There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; All transactions, satisfied by an opcode,  inserted into the TOR that are satisfied by locally HOMed memory"
unc_c_tor_inserts.miss_local,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x2a/",,TOR Inserts; Misses to Local Memory. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; Miss transactions inserted into the TOR that are satisfied by locally HOMed memory"
unc_c_tor_inserts.miss_local_opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x23/",,TOR Inserts; Misses to Local Memory - Opcode Matched. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; Miss transactions, satisfied by an opcode, inserted into the TOR that are satisfied by locally HOMed memory"
unc_c_tor_inserts.miss_opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x3/",,TOR Inserts; Miss Opcode Match. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; Miss transactions inserted into the TOR that match an opcode"
unc_c_tor_inserts.miss_remote,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x8a/",,TOR Inserts; Misses to Remote Memory. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; Miss transactions inserted into the TOR that are satisfied by remote caches or remote memory"
unc_c_tor_inserts.miss_remote_opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x83/",,TOR Inserts; Misses to Remote Memory - Opcode Matched. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; Miss transactions, satisfied by an opcode,  inserted into the TOR that are satisfied by remote caches or remote memory"
unc_c_tor_inserts.nid_all,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x48/",,TOR Inserts; NID Matched. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; All NID matched (matches an RTID destination) transactions inserted into the TOR.  The NID is programmed in Cn_MSR_PMON_BOX_FILTER.nid.  In conjunction with STATE = I, it is possible to monitor misses to specific NIDs in the system"
unc_c_tor_inserts.nid_eviction,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x44/",,TOR Inserts; NID Matched Evictions. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; NID matched eviction transactions inserted into the TOR"
unc_c_tor_inserts.nid_miss_all,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x4a/",,TOR Inserts; NID Matched Miss All. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; All NID matched miss requests that were inserted into the TOR"
unc_c_tor_inserts.nid_miss_opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x43/",,TOR Inserts; NID and Opcode Matched Miss. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; Miss transactions inserted into the TOR that match a NID and an opcode"
unc_c_tor_inserts.nid_opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x41/",,TOR Inserts; NID and Opcode Matched. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; Transactions inserted into the TOR that match a NID and an opcode"
unc_c_tor_inserts.nid_wb,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x50/",,TOR Inserts; NID Matched Writebacks. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; NID matched write transactions inserted into the TOR"
unc_c_tor_inserts.opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x1/",,TOR Inserts; Opcode Match. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; Transactions inserted into the TOR that match an opcode (matched by Cn_MSR_PMON_BOX_FILTER.opc)"
unc_c_tor_inserts.remote,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x88/",,TOR Inserts; Remote Memory. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; All transactions inserted into the TOR that are satisfied by remote caches or remote memory"
unc_c_tor_inserts.remote_opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x81/",,TOR Inserts; Remote Memory - Opcode Matched. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; All transactions, satisfied by an opcode,  inserted into the TOR that are satisfied by remote caches or remote memory"
unc_c_tor_inserts.wb,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x35,umask=0x10/",,TOR Inserts; Writebacks. Unit: uncore_cbox ,"Counts the number of entries successfully inserted into the TOR that match  qualifications specified by the subevent.  There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc  to DRD (0x182).; Write transactions inserted into the TOR.   This does not include RFO, but actual operations that contain data being sent from the core"
unc_c_tor_occupancy.all,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x8/",,TOR Occupancy; Any. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182); All valid TOR entries.  This includes requests that reside in the TOR for a short time, such as LLC Hits that do not need to snoop cores or requests that get rejected and have to be retried through one of the ingress queues.  The TOR is more commonly a bottleneck in skews with smaller core counts, where the ratio of RTIDs to TOR entries is larger.  Note that there are reserved TOR entries for various request types, so it is possible that a given request type be blocked with an occupancy that is less than 20.  Also note that generally requests will not be able to arbitrate into the TOR pipeline if there are no available TOR slots"
unc_c_tor_occupancy.eviction,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x4/",,TOR Occupancy; Evictions. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182); Number of outstanding eviction transactions in the TOR.  Evictions can be quick, such as when the line is in the F, S, or E states and no core valid bits are set.  They can also be longer if either CV bits are set (so the cores need to be snooped) and/or if there is a HitM (in which case it is necessary to write the request out to memory)"
unc_c_tor_occupancy.llc_data_read,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x3,filter_opc=0x182/",,Occupancy counter for LLC data reads (demand and L2 prefetch). Derived from unc_c_tor_occupancy.miss_opcode. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182); TOR entries for miss transactions that match an opcode. This generally means that the request was sent to memory or MMIO"
unc_c_tor_occupancy.local,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x28/",,TOR Occupancy. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182)"
unc_c_tor_occupancy.local_opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x21/",,TOR Occupancy; Local Memory - Opcode Matched. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182); Number of outstanding  transactions, satisfied by an opcode,  in the TOR that are satisfied by locally HOMed memory"
unc_c_tor_occupancy.miss_all,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0xa/",,TOR Occupancy; Miss All. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182); Number of outstanding miss requests in the TOR.  'Miss' means the allocation requires an RTID.  This generally means that the request was sent to memory or MMIO"
unc_c_tor_occupancy.miss_local,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x2a/",,TOR Occupancy. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182)"
unc_c_tor_occupancy.miss_local_opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x23/",,TOR Occupancy; Misses to Local Memory - Opcode Matched. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182); Number of outstanding Miss transactions, satisfied by an opcode, in the TOR that are satisfied by locally HOMed memory"
unc_c_tor_occupancy.miss_opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x3/",,TOR Occupancy; Miss Opcode Match. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182); TOR entries for miss transactions that match an opcode. This generally means that the request was sent to memory or MMIO"
unc_c_tor_occupancy.miss_remote,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x8a/",,TOR Occupancy. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182)"
unc_c_tor_occupancy.miss_remote_opcode,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x83/",,TOR Occupancy; Misses to Remote Memory - Opcode Matched. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182); Number of outstanding Miss transactions, satisfied by an opcode, in the TOR that are satisfied by remote caches or remote memory"
unc_c_tor_occupancy.nid_all,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x48/",,TOR Occupancy; NID Matched. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182); Number of NID matched outstanding requests in the TOR.  The NID is programmed in Cn_MSR_PMON_BOX_FILTER.nid.In conjunction with STATE = I, it is possible to monitor misses to specific NIDs in the system"
unc_c_tor_occupancy.nid_eviction,,Kernel PMU event,uncore_cbox,uncore cache,"uncore_cbox/event=0x36,umask=0x44/",,TOR Occupancy; NID Matched Evictions. Unit: uncore_cbox ,"For each cycle, this event accumulates the number of valid entries in the TOR that match qualifications specified by the subevent.   There are a number of subevent 'filters' but only a subset of the subevent combinations are valid.  Subevents that require an opcode or NID match require the Cn_MSR_PMON_BOX_FILTER.{opc, nid} field to be set.  If, for example, one wanted to count DRD Local Misses, one should select MISS_OPC_MATCH and set Cn_MSR_PMON_BOX_FILTER.opc to DRD (0x182); Number of outstanding NID matched eviction transactions in the TOR "
